target_cliente,target_producto,Semana,cantidad,se_compra
1.813953488372093,1.1846153846153846,22,1.0,1
1.813953488372093,1.1846153846153846,23,1.0,0
1.813953488372093,3.5988023952095807,21,4.0,1
1.813953488372093,3.5988023952095807,22,3.0,0
1.813953488372093,4.400826446280992,19,3.0,0
1.813953488372093,4.400826446280992,21,3.0,0
1.813953488372093,4.400826446280992,23,3.0,0
1.813953488372093,1.1353383458646618,21,1.0,1
1.813953488372093,1.1353383458646618,22,1.0,1
1.813953488372093,1.1353383458646618,23,1.0,0
1.813953488372093,4.271604938271605,21,3.0,0
1.2142857142857142,1.107371794871795,20,1.0,0
1.2142857142857142,1.7638114546376078,18,2.0,0
1.2142857142857142,1.7638114546376078,21,1.0,1
1.2142857142857142,1.7638114546376078,22,1.0,0
1.2142857142857142,3.3890237979601747,18,1.0,1
1.2142857142857142,3.3890237979601747,19,2.0,1
1.2142857142857142,3.3890237979601747,20,2.0,0
1.2142857142857142,1.0398089171974523,19,1.0,0
1.2142857142857142,1.2392444910807974,21,1.0,0
1.2142857142857142,1.099041533546326,18,1.0,1
1.2142857142857142,1.099041533546326,19,1.0,0
1.2142857142857142,1.1846153846153846,18,1.0,1
1.2142857142857142,1.1846153846153846,19,1.0,0
1.2142857142857142,1.091710758377425,22,1.0,0
1.3076923076923077,1.2613412228796843,22,1.0,0
1.3076923076923077,1.7638114546376078,18,1.0,0
1.3076923076923077,3.3890237979601747,18,1.0,0
1.3076923076923077,2.388888888888889,18,2.0,0
1.3076923076923077,2.970066518847007,22,2.0,0
1.3076923076923077,1.275064267352185,19,1.0,0
1.3076923076923077,1.275064267352185,21,1.0,0
1.3076923076923077,1.3422053231939164,18,1.0,0
1.3076923076923077,1.3422053231939164,21,1.0,0
1.3076923076923077,2.7088607594936707,18,2.0,0
1.3076923076923077,2.7088607594936707,21,2.0,0
1.3076923076923077,1.091710758377425,19,1.0,0
1.3076923076923077,1.091710758377425,21,1.0,0
1.0909090909090908,1.1640112464854733,21,1.0,0
1.0909090909090908,1.7638114546376078,19,1.0,0
1.0909090909090908,1.7638114546376078,23,1.0,0
1.0909090909090908,3.3890237979601747,21,2.0,0
1.0909090909090908,1.2392444910807974,18,1.0,1
1.0909090909090908,1.2392444910807974,19,1.0,1
1.0909090909090908,1.2392444910807974,20,1.0,0
1.0909090909090908,1.2392444910807974,22,1.0,1
1.0909090909090908,1.2392444910807974,23,1.0,0
1.0909090909090908,1.3422053231939164,21,1.0,0
1.0909090909090908,1.089051094890511,20,1.0,0
